rok,Białystok,Bydgoszcz,Gdańsk,Gdynia,Katowice,Kielce,Kraków,Lublin,Łódź,Olsztyn,Opole,Poznań,Rzeszów,Szczecin,Warszawa,Wrocław,Zielona_Góra
2006,2913.0,2564.25,4186.0,4273.5,2861.32,2719.15,6361.75,2994.75,2641.75,3075.01,3076.04,3895.46,2798.75,3207.28,6291.5,4163.57,2402.24
2007,4315.38,3761.0,6160.0,6357.12,4168.97,3735.3,7322.12,3969.38,4378.62,4011.91,3786.0,5973.9,3975.75,4423.58,8234.0,6073.57,3217.37
2008,4778.5,4325.0,6451.12,6506.5,4632.15,4392.16,7198.62,4879.25,4602.62,4537.52,3848.69,6509.73,4203.38,5063.64,8582.62,5705.2,3597.79
2009,4578.25,4321.88,5692.0,5800.75,4247.48,4377.97,6586.75,4709.5,4366.75,4449.04,3653.36,5770.68,3968.38,4785.92,7940.83,5492.33,3260.51
2010,4518.25,4258.25,5608.39,5504.31,4267.0,4446.09,6550.62,4756.62,4410.38,4672.52,3829.62,5959.62,4198.5,4564.75,8199.58,5866.0,3311.88
2011,4520.62,4181.5,5532.03,5821.72,4115.86,4560.18,6637.75,4957.38,4400.88,4703.01,4346.52,5831.1,4336.88,4505.5,7732.0,5900.62,3410.5
2012,4265.12,4003.88,5333.54,5647.98,4156.87,4407.25,6386.59,4816.38,4035.0,4369.2,4112.44,5478.17,4377.38,4290.64,7105.15,5537.0,3391.0
2013,4138.62,4079.62,5319.36,5324.2,4053.49,4237.83,5903.08,4684.12,3952.75,4250.96,4132.92,5471.05,4518.88,4191.93,7040.14,5305.0,3340.75
2014,4098.75,4068.25,5363.92,5314.76,4131.91,4196.14,5911.91,4640.5,4002.38,4321.61,4153.79,5561.51,4584.12,4276.59,7328.44,5465.38,3404.25
2015,4177.62,4142.0,5581.79,5603.13,4200.83,4133.2,6101.71,4716.88,4017.38,4387.19,4172.71,5636.51,4653.38,4275.14,7427.04,5626.25,3381.62
2016,4288.38,4279.25,5931.48,5778.92,4294.16,4097.08,6090.83,4809.25,4035.75,4497.73,4187.27,5725.29,4760.38,4404.91,7532.25,5720.62,3467.25
2017,4325.12,4498.12,6348.52,6245.27,4410.57,4102.02,6395.24,4913.62,4304.25,4660.16,4432.88,5860.89,4791.75,4694.59,7767.37,5972.12,3580.38
2018,4859.38,4891.62,7217.05,6873.07,4802.17,4310.56,6725.19,5262.38,4747.75,4976.68,4837.0,6309.24,5091.0,5105.03,8382.08,6385.25,3756.38
2019,5363.63,5503.5,8121.81,7636.55,5630.27,4671.0,7414.86,5715.06,5272.62,5451.66,5191.77,6778.56,5648.5,5892.89,9233.07,7085.63,4377.5
2020,5765.61,5993.31,8843.73,7991.46,6130.36,5204.04,8308.01,6275.44,5843.84,5968.21,5754.27,7187.87,6309.18,6465.48,10123.1,7852.74,4850.43
2021,5958.46,6325.93,9412.42,8732.5,6370.46,5477.4,8621.93,6713.65,5966.85,6068.26,5790.81,7360.96,6532.18,6807.0,10400.37,8240.3,5035.43
